time,signal
0.0,0.28024394750407844
0.0005,0.28378311770729014
0.001,0.2908614581137136
0.0015,0.28732228791050185
0.002,0.28378311770729014
0.0025,0.26962643689444327
0.003,0.27316560709765497
0.0035,0.28024394750407844
0.004,0.28732228791050185
0.0045000000000000005,0.3014789687233488
0.005,0.3014789687233488
0.0055,0.2979397985201371
0.006,0.2979397985201371
0.006500000000000001,0.2979397985201371
0.007,0.3050181389265605
0.0075,0.3297923303490426
0.008,0.3333315005522543
0.0085,0.3333315005522543
0.009000000000000001,0.32625316014583083
0.0095,0.32625316014583083
0.01,0.3297923303490426
0.0105,0.3333315005522543
0.011,0.34040984095867777
0.0115,0.336870670755466
0.012,0.32625316014583083
0.0125,0.32271398994261913
0.013000000000000001,0.3297923303490426
0.0135,0.32271398994261913
0.014,0.32271398994261913
0.0145,0.32271398994261913
0.015,0.31209647933298396
0.0155,0.2979397985201371
0.016,0.28732228791050185
0.0165,0.28024394750407844
0.017,0.28378311770729014
0.0175,0.2908614581137136
0.018000000000000002,0.28732228791050185
0.0185,0.28732228791050185
0.019,0.2767047773008667
0.0195,0.2767047773008667
0.02,0.28024394750407844
0.0205,0.28024394750407844
0.021,0.2979397985201371
0.021500000000000002,0.2979397985201371
0.022,0.2979397985201371
0.0225,0.2979397985201371
0.023,0.2979397985201371
0.0235,0.3050181389265605
0.024,0.3191748197394074
0.0245,0.3297923303490426
0.025,0.32625316014583083
0.025500000000000002,0.32271398994261913
0.026000000000000002,0.3297923303490426
0.0265,0.3297923303490426
0.027,0.32625316014583083
0.0275,0.3439490111618895
0.028,0.3439490111618895
0.0285,0.336870670755466
0.029,0.32271398994261913
0.029500000000000002,0.31563564953619566
0.03,0.3191748197394074
0.0305,0.31563564953619566
0.031,0.32271398994261913
0.0315,0.3191748197394074
0.032,0.2944006283169253
0.0325,0.2908614581137136
0.033,0.28024394750407844
0.0335,0.28024394750407844
0.034,0.28732228791050185
0.0345,0.2908614581137136
0.035,0.28378311770729014
0.035500000000000004,0.2767047773008667
0.036000000000000004,0.27316560709765497
0.0365,0.28378311770729014
0.037,0.28732228791050185
0.0375,0.2944006283169253
0.038,0.30855730912977225
0.0385,0.2908614581137136
0.039,0.2944006283169253
0.0395,0.3014789687233488
0.04,0.2979397985201371
0.0405,0.31209647933298396
0.041,0.3297923303490426
0.0415,0.3439490111618895
0.042,0.32271398994261913
0.0425,0.32625316014583083
0.043000000000000003,0.32625316014583083
0.043500000000000004,0.32625316014583083
0.044,0.3474881813651012
0.0445,0.3333315005522543
0.045,0.336870670755466
0.0455,0.32271398994261913
0.046,0.32625316014583083
0.0465,0.3191748197394074
0.047,0.31563564953619566
0.0475,0.32625316014583083
0.048,0.3191748197394074
0.0485,0.3014789687233488
0.049,0.2944006283169253
0.0495,0.28024394750407844
0.05,0.2767047773008667
0.0505,0.2767047773008667
0.051000000000000004,0.2767047773008667
0.051500000000000004,0.28024394750407844
0.052000000000000005,0.26962643689444327
0.0525,0.28024394750407844
0.053,0.27316560709765497
0.0535,0.2767047773008667
0.054,0.2944006283169253
0.0545,0.2944006283169253
0.055,0.3014789687233488
0.0555,0.2908614581137136
0.056,0.3014789687233488
0.0565,0.3050181389265605
0.057,0.31209647933298396
0.0575,0.3297923303490426
0.058,0.336870670755466
0.0585,0.3333315005522543
0.059000000000000004,0.3297923303490426
0.059500000000000004,0.32271398994261913
0.06,0.3297923303490426
0.0605,0.336870670755466
0.061,0.35102735156831294
0.0615,0.34040984095867777
0.062,0.32625316014583083
0.0625,0.32625316014583083
0.063,0.3191748197394074
0.0635,0.31563564953619566
0.064,0.32271398994261913
0.0645,0.32271398994261913
0.065,0.30855730912977225
0.0655,0.2944006283169253
0.066,0.2908614581137136
0.0665,0.28024394750407844
0.067,0.2908614581137136
0.0675,0.2908614581137136
0.068,0.2979397985201371
0.0685,0.28378311770729014
0.069,0.28378311770729014
0.0695,0.2767047773008667
0.07,0.28732228791050185
0.07050000000000001,0.2944006283169253
0.07100000000000001,0.3014789687233488
0.07150000000000001,0.2944006283169253
0.07200000000000001,0.2908614581137136
0.0725,0.3014789687233488
0.073,0.2979397985201371
0.0735,0.3050181389265605
0.074,0.3297923303490426
0.0745,0.3297923303490426
0.075,0.3297923303490426
0.0755,0.3297923303490426
0.076,0.3297923303490426
0.0765,0.3297923303490426
0.077,0.3333315005522543
